Week Ending Date,Metric,Category,Waiting Bands,Count
07/11/2021,Age,19-64 Years,Total,2994425
07/11/2021,Age,Over 65 Years,Unknown Clock Start,3510
07/11/2021,Age,Over 65 Years,01 To 18 Weeks,1178280
07/11/2021,Age,Over 65 Years,18 To 52 Weeks,514950
07/11/2021,Age,Over 65 Years,Over 52 Weeks,94180
07/11/2021,Age,Over 65 Years,Total,1790920
07/11/2021,Sex,Female,Unknown Clock Start,5350
07/11/2021,Sex,Female,01 To 18 Weeks,1897845
07/11/2021,Sex,Female,18 To 52 Weeks,903735
07/11/2021,Sex,Female,Over 52 Weeks,155290
07/11/2021,Sex,Female,Total,2962220
07/11/2021,Sex,Male,Unknown Clock Start,4325
07/11/2021,Sex,Male,01 To 18 Weeks,1455255
07/11/2021,Sex,Male,18 To 52 Weeks,691105
07/11/2021,Sex,Male,Over 52 Weeks,130950
07/11/2021,Sex,Male,Total,2281640
14/11/2021,Age,0-18 Years,Unknown Clock Start,1150
14/11/2021,Age,0-18 Years,01 To 18 Weeks,404105
14/11/2021,Age,0-18 Years,18 To 52 Weeks,185905
14/11/2021,Age,0-18 Years,Over 52 Weeks,26920
14/11/2021,Age,0-18 Years,Total,618080
14/11/2021,Age,19-64 Years,Unknown Clock Start,5810
14/11/2021,Age,19-64 Years,01 To 18 Weeks,1891755
14/11/2021,Age,19-64 Years,18 To 52 Weeks,986500
14/11/2021,Age,19-64 Years,Over 52 Weeks,178840
14/11/2021,Age,19-64 Years,Total,3062905
14/11/2021,Age,Over 65 Years,Unknown Clock Start,3505
14/11/2021,Age,Over 65 Years,01 To 18 Weeks,1196830
14/11/2021,Age,Over 65 Years,18 To 52 Weeks,530625
14/11/2021,Age,Over 65 Years,Over 52 Weeks,95655
14/11/2021,Age,Over 65 Years,Total,1826615
14/11/2021,Sex,Female,Unknown Clock Start,5755
14/11/2021,Sex,Female,01 To 18 Weeks,1932505
14/11/2021,Sex,Female,18 To 52 Weeks,932945
14/11/2021,Sex,Female,Over 52 Weeks,159350
14/11/2021,Sex,Female,Total,3030555
14/11/2021,Sex,Male,Unknown Clock Start,4660
14/11/2021,Sex,Male,01 To 18 Weeks,1479040
14/11/2021,Sex,Male,18 To 52 Weeks,713115
14/11/2021,Sex,Male,Over 52 Weeks,133520
14/11/2021,Sex,Male,Total,2330335
21/11/2021,Age,0-18 Years,Unknown Clock Start,745
21/11/2021,Age,0-18 Years,01 To 18 Weeks,400750
21/11/2021,Age,0-18 Years,18 To 52 Weeks,185845
21/11/2021,Age,0-18 Years,Over 52 Weeks,26935
21/11/2021,Age,0-18 Years,Total,614280
21/11/2021,Age,19-64 Years,Unknown Clock Start,9760
