Code,Name,Geography,Metric,Category,Waiting Bands,Count
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,18 To 52 Weeks,9785
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,Over 52 Weeks,435
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Age,Over 65 Years,Total,25155
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,01 To 18 Weeks,605
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,18 To 52 Weeks,495
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,Over 52 Weeks,25
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,99: Not known,Total,1125
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,01 To 18 Weeks,10605
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,18 To 52 Weeks,7235
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,Over 52 Weeks,320
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,A: British,Total,18160
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,01 To 18 Weeks,1040
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,18 To 52 Weeks,740
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,Over 52 Weeks,30
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,B: Irish,Total,1810
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,01 To 18 Weeks,5740
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,18 To 52 Weeks,4530
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Over 52 Weeks,220
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,C: Any other white background,Total,10490
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ACUTE,Ethnicity,D: White and Black Caribbean,01 To 18 Weeks,220
