Code,Name,Geography,Metric,Category,Waiting Bands,Count
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Female,01 To 18 Weeks,34745
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Female,18 To 52 Weeks,18825
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Female,Over 52 Weeks,405
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Female,Total,53975
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Male,01 To 18 Weeks,25745
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Male,18 To 52 Weeks,14595
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Male,Over 52 Weeks,340
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ACUTE,Sex,Male,Total,40675
R1F,ISLE OF WIGHT NHS TRUST,NHS ACUTE,Age,0-18 Years,01 To 18 Weeks,475
R1F,ISLE OF WIGHT NHS TRUST,NHS ACUTE,Age,0-18 Years,18 To 52 Weeks,180
R1F,ISLE OF WIGHT NHS TRUST,NHS ACUTE,Age,0-18 Years,Over 52 Weeks,*
