Code,Name,Geography,Metric,Category,Waiting Bands,Count
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,R: Chinese,01 To 18 Weeks,100
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,R: Chinese,18 To 52 Weeks,60
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,R: Chinese,Over 52 Weeks,*
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,R: Chinese,Total,165
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,600
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,415
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,Over 52 Weeks,30
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,S: Any other ethnic group,Total,1040
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,Z: Not stated,01 To 18 Weeks,475
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,Z: Not stated,18 To 52 Weeks,320
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,Z: Not stated,Over 52 Weeks,30
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,Ethnicity,Z: Not stated,Total,825
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,1,01 To 18 Weeks,20
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,1,18 To 52 Weeks,25
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,1,Total,45
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,10,01 To 18 Weeks,7285
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,10,18 To 52 Weeks,5145
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,10,Over 52 Weeks,400
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,10,Total,12830
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,01 To 18 Weeks,250
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,18 To 52 Weeks,200
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,Over 52 Weeks,20
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,2,Total,470
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,01 To 18 Weeks,1425
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,18 To 52 Weeks,1050
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Over 52 Weeks,90
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,3,Total,2565
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,01 To 18 Weeks,1985
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,18 To 52 Weeks,1525
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Over 52 Weeks,120
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,4,Total,3630
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,01 To 18 Weeks,1915
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,18 To 52 Weeks,1370
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Over 52 Weeks,125
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,5,Total,3405
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,01 To 18 Weeks,2395
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,18 To 52 Weeks,1780
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Over 52 Weeks,125
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,6,Total,4305
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,01 To 18 Weeks,3775
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,18 To 52 Weeks,2730
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Over 52 Weeks,230
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,7,Total,6730
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,01 To 18 Weeks,3380
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,18 To 52 Weeks,2320
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Over 52 Weeks,180
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,8,Total,5885
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,01 To 18 Weeks,4780
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,18 To 52 Weeks,3320
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,Over 52 Weeks,270
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ACUTE,IMD,9,Total,8370
