Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,ENGLAND,IMD,8,18 To 52 Weeks,257255
ENG,ENGLAND,ENGLAND,IMD,8,Over 52 Weeks,19020
ENG,ENGLAND,ENGLAND,IMD,8,Total,700440
ENG,ENGLAND,ENGLAND,IMD,9,Unknown Clock Start,725
ENG,ENGLAND,ENGLAND,IMD,9,01 To 18 Weeks,412105
ENG,ENGLAND,ENGLAND,IMD,9,18 To 52 Weeks,248520
ENG,ENGLAND,ENGLAND,IMD,9,Over 52 Weeks,18370
ENG,ENGLAND,ENGLAND,IMD,9,Total,679720
ENG,ENGLAND,ENGLAND,Sex,Female,Unknown Clock Start,3925
ENG,ENGLAND,ENGLAND,Sex,Female,01 To 18 Weeks,2367400
ENG,ENGLAND,ENGLAND,Sex,Female,18 To 52 Weeks,1479165
ENG,ENGLAND,ENGLAND,Sex,Female,Over 52 Weeks,112160
ENG,ENGLAND,ENGLAND,Sex,Female,Total,3962650
ENG,ENGLAND,ENGLAND,Sex,Male,Unknown Clock Start,2675
ENG,ENGLAND,ENGLAND,Sex,Male,01 To 18 Weeks,1797540
ENG,ENGLAND,ENGLAND,Sex,Male,18 To 52 Weeks,1093530
ENG,ENGLAND,ENGLAND,Sex,Male,Over 52 Weeks,80635
ENG,ENGLAND,ENGLAND,Sex,Male,Total,2974375
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,01 To 18 Weeks,3375
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,18 To 52 Weeks,1000
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Over 52 Weeks,55
ENG,ENGLAND,INDEPENDENT SECTOR,Age,0-18 Years,Total,4450
ENG,ENGLAND,INDEPENDENT SECTOR,Age,19-64 Years,Unknown Clock Start,1985
