Code,Name,Geography,Metric,Category,Waiting Bands,Count
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,J: Pakistani,Total,7275
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,01 To 18 Weeks,1790
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,18 To 52 Weeks,675
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,K: Bangladeshi,Total,2470
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Unknown Clock Start,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,01 To 18 Weeks,4295
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,18 To 52 Weeks,1455
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Over 52 Weeks,40
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,L: Any other Asian background,Total,5805
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,01 To 18 Weeks,2310
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,18 To 52 Weeks,795
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Over 52 Weeks,20
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,M: Caribbean,Total,3130
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,01 To 18 Weeks,3490
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,18 To 52 Weeks,1175
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Over 52 Weeks,30
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,N: African,Total,4705
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,01 To 18 Weeks,1600
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,18 To 52 Weeks,550
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Over 52 Weeks,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,P: Any other Black background,Total,2165
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Unknown Clock Start,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,01 To 18 Weeks,805
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,18 To 52 Weeks,265
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Over 52 Weeks,*
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,R: Chinese,Total,1080
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Unknown Clock Start,10
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,01 To 18 Weeks,1485
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,18 To 52 Weeks,480
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Over 52 Weeks,15
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,S: Any other ethnic group,Total,1990
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Unknown Clock Start,190
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,01 To 18 Weeks,18385
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,18 To 52 Weeks,6150
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Over 52 Weeks,185
ENG,ENGLAND,INDEPENDENT SECTOR,Ethnicity,Z: Not stated,Total,24910
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Unknown Clock Start,310
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,01 To 18 Weeks,20455
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,18 To 52 Weeks,7855
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Over 52 Weeks,150
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,1,Total,28770
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Unknown Clock Start,95
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,01 To 18 Weeks,29380
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,18 To 52 Weeks,10095
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Over 52 Weeks,220
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,10,Total,39785
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Unknown Clock Start,305
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,01 To 18 Weeks,21345
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,18 To 52 Weeks,7650
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Over 52 Weeks,220
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,2,Total,29520
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Unknown Clock Start,275
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,01 To 18 Weeks,23140
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,18 To 52 Weeks,8220
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Over 52 Weeks,240
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,3,Total,31875
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Unknown Clock Start,380
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,01 To 18 Weeks,24110
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,18 To 52 Weeks,8535
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Over 52 Weeks,275
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,4,Total,33300
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Unknown Clock Start,450
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,01 To 18 Weeks,24960
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,18 To 52 Weeks,8845
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Over 52 Weeks,260
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,5,Total,34515
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,Unknown Clock Start,295
ENG,ENGLAND,INDEPENDENT SECTOR,IMD,6,01 To 18 Weeks,27700
